,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,"Stanicki, Robyn M.",1.0282280712026213,1674,0.3163265306122449,199,177,1298
1,"Pattavina, Charles F.",0.0,1321,0.2496220710506425,264,116,941
2,"Curry, Glenn Chip",2.0,2297,0.43405139833711265,487,225,1585
