,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,TONY KELLY,0.8748044735157825,3707,0.24001294917449012,1053,858,1796,-1,-1
1,MARLENE TRAN,1.2993058174624026,2736,0.17714470702492716,884,457,1395,-1,-1
2,ED DONALDSON,2.6935161617752943,815,0.052767886047264484,218,125,472,-1,-1
3,SHAWN M. RICHARD,4.0,997,0.06455163483327937,207,108,682,-1,-1
4,MALIA COHEN,0.0,7190,0.4655228229200388,2818,1158,3214,-1,-1
