,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,EDWARD C. FRANK,2.0,2675,0.08912507496501633,692,645,1338
1,ZAC UNGER,0.6784511537207594,22850,0.7613113880189245,11827,4728,6295
2,LEN RAPHAEL,0.0,4489,0.14956353701605918,1514,1033,1942
