,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8
0,JANE KIM,3.1720463361149687,60837,0.24199476527259564,3072,9728,48037,-1,-1,-1,-1,-1
1,ELLEN LEE ZHOU,2.4599808489699795,9597,0.038174528039204764,1693,1062,6842,-1,-1,-1,-1,-1
2,MARK LENO,3.573347379735575,61515,0.24469168410249884,5725,12408,43382,-1,-1,-1,-1,-1
3,ANGELA ALIOTO,3.4746070319351703,17600,0.07000851239866665,3524,2587,11489,-1,-1,-1,-1,-1
4,RICHIE GREENBERG,7.0,7062,0.028090915599964995,1949,1169,3944,-1,-1,-1,-1,-1
5,LONDON BREED,3.5402752034208316,92200,0.3667491388157424,20432,14280,57488,-1,-1,-1,-1,-1
6,MICHELLE BRAVO,5.144263580310977,904,0.003595891773204242,140,110,654,-1,-1,-1,-1,-1
7,AMY FARAH WEISS,0.0,1683,0.006694563998122499,132,110,1441,-1,-1,-1,-1,-1
