,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,ZOE LOPEZ-MERAZ,2.0,3225,0.18162874521288577,467,577,2181
1,NOEL GALLO,0.0,9001,0.5069272358639333,2915,754,5332
2,RICHARD SANTOS RAYA,1.1054906249316105,5530,0.3114440189231809,1217,1296,3017
