,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,MATT PACKARD,0.0,4672,0.7633986928104575,1297,148,3227
1,MATTHEW NORMAN BRADLEY,2.0,697,0.11388888888888889,87,67,543
2,RYAN MILLER,1.1166030203196822,751,0.12271241830065359,98,42,611
