,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,DEBORAH MATTHEWS,0.0,1483,0.20819879264354907,390,282,811,-1
1,MARK A. COPLAN,1.0642091483614942,1446,0.20300435209883477,333,281,832,-1
2,BEN BARTLETT,1.5344554547247478,4061,0.5701249473536432,1201,764,2096,-1
3,AL G. MURRAY,3.0,133,0.018671907903973044,25,24,84,-1
