,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11
0,Joseph R. Biden,8.20907006865058,11008,0.5397930662482224,5374,1922,3712,-1,-1,-1,-1,-1,-1,-1,-1
1,Michael R.,8.842800904044626,198,0.00970921394596185,34,26,138,-1,-1,-1,-1,-1,-1,-1,-1
2,Pete Buttigieg,9.630465475318301,158,0.007747756583141274,15,21,122,-1,-1,-1,-1,-1,-1,-1,-1
3,Elizabeth Warren,10.0,951,0.046633648801059184,41,118,792,-1,-1,-1,-1,-1,-1,-1,-1
4,Bernie Sanders,8.424756299687704,6723,0.32967194625606827,1958,1506,3259,-1,-1,-1,-1,-1,-1,-1,-1
5,Amy Klobuchar,9.271578707827118,59,0.002893149610160349,5,5,49,-1,-1,-1,-1,-1,-1,-1,-1
6,Tulsi Gabbard,8.332590476004528,931,0.0456529201196489,298,150,483,-1,-1,-1,-1,-1,-1,-1,-1
7,Uncommitted,8.224720677457496,185,0.009071740303045162,154,8,23,-1,-1,-1,-1,-1,-1,-1,-1
8,Tom Steyer,7.6109726769383315,19,0.0009316922473397735,1,4,14,-1,-1,-1,-1,-1,-1,-1,-1
9,Andrew Yang,7.978089764408715,154,0.007551610846859217,15,24,115,-1,-1,-1,-1,-1,-1,-1,-1
10,Deval Patrick,0.0,7,0.00034325503849360077,-1,1,6,-1,-1,-1,-1,-1,-1,-1,-1
