,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,Doug Chan,2.3565234727987714,3236,0.16333535231173027,634,386,2216,-1,-1,-1
1,Ron Dudum,3.6813447784557765,5134,0.2591358772461135,1638,749,2747,-1,-1,-1
2,David Ferguson,5.0,1455,0.07344033918837069,385,216,854,-1,-1,-1
3,Jaynry Mak,3.4320444566808943,4569,0.23061780738946094,1097,850,2622,-1,-1,-1
4,Ed Jew,2.8005019495449153,5184,0.2616596002422774,1042,414,3728,-1,-1,-1
5,Houston Zheng,0.0,234,0.011811023622047244,31,28,175,-1,-1,-1
