,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,Kimberly Wilburn,3.0266119079872538,4140,0.40731995277449823,1396,1814,930,-1,-1
1,Ash Patel,4.0,1330,0.13085399449035812,408,444,478,-1,-1
2,Stacy Cranbrook,1.658092961098598,2222,0.21861471861471862,390,226,1606,-1,-1
3,Daniel Kral,0.7331109976372818,1137,0.11186540731995277,378,221,538,-1,-1
4,Jim Hadley,0.0,1335,0.13134592680047225,400,274,661,-1,-1
