,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,VALLIE BROWN,3.0,16783,0.4013727459702492,4215,2411,1843,8314
1,DANIEL LANDRY,0.9835157701621735,2416,0.05777969101257952,236,229,361,1590
2,NOMVULA O'MEARA,0.0,1120,0.02678528722437461,64,85,158,813
3,DEAN PRESTON,2.0295495365039624,21495,0.5140622757927966,3930,2534,4982,10049
