,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9
0,Bernie Sanders,4.26046327628008,3682,0.23905986235553825,636,1381,672,180,813,-1,-1,-1,-1
1,Pete Buttigieg,1.649516310863637,295,0.019153356706921178,8,33,59,44,151,-1,-1,-1,-1
2,Joseph R. Biden,3.9462550910509475,10105,0.6560836255031814,3270,2999,1483,491,1862,-1,-1,-1,-1
3,Amy Klobuchar,3.1870559040940774,141,0.009154655239579276,6,17,37,17,64,-1,-1,-1,-1
4,Tom Steyer,0.0,48,0.0031164783794312427,5,5,9,5,24,-1,-1,-1,-1
5,Elizabeth Warren,3.5944521936569482,689,0.044734450071419296,7,79,209,78,316,-1,-1,-1,-1
6,(undeclared),6.0575199978887655,149,0.009674068302817815,107,6,8,7,21,-1,-1,-1,-1
7,Michael R. Bloomberg,2.835962173819151,158,0.010258407998961173,13,20,33,22,70,-1,-1,-1,-1
8,Tulsi Gabbard,8.0,135,0.00876509544215037,32,27,31,13,32,-1,-1,-1,-1
