,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,"ROBERT ""BOB"" JACKSON",2.0396664556988107,4598,0.2341498192188216,1373,445,451,456,1873
1,MARCIE HODGE,0.9566006298018863,2863,0.14579620104904006,465,219,283,265,1631
2,AARON CLAY,3.0922966856366125,3332,0.1696796863064623,668,331,350,335,1648
3,MARCHON TATMON,4.0,1876,0.09553394102968885,278,168,168,220,1042
4,TREVA REID,0.0,6968,0.35484035239598716,1703,791,612,528,3334
