,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,MATT DORSEY,3.0,8275,0.5072330513669241,3437,1509,369,2960
1,MS BILLIE COOPER,0.0,378,0.02317028319235013,51,53,48,226
2,HONEY MAHOGANY,2.2068966668525407,7112,0.4359445874708839,1909,2096,476,2631
3,CHERELLE JACKSON,1.0807327655635874,549,0.033652077969841855,110,58,48,333
