,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,DARRYL MOORE,2.0,3412,0.5887834339948231,1560,379,1473
1,DENISHA DELANE,0.8999366997322789,1638,0.28265746333045727,296,608,734
2,ADOLFO CABRAL,0.0,745,0.1285591026747196,141,229,375
