,candidate,position,first place count,first place freq,len_1,len_2
0,CORINA N. LOPEZ,0.0,16418,0.704665436284819,7315,9103
1,MAXINE OLIVER-BENSON,1.0,6881,0.2953345637151809,2801,4080
