,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,"Jimmie, Nellie D. ""Unangik""",1.736045061833503,1302,0.36076475477971737,649,86,108,459
1,"Keppel, Willy",0.0,939,0.2601828761429759,532,71,59,277
2,"McCormick, C.J.",1.208528175616114,1178,0.32640620670545856,569,166,114,329
3,"Sosa, Victoria B.",3.0,190,0.05264616237184816,69,21,18,82
