,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,ANDREW PARK,3.192921937914773,2605,0.19196757553426677,568,476,1561,-1,-1
1,DANA KING,2.548033679512835,4464,0.32896094325718495,1254,715,2495,-1,-1
2,KEN MAXEY,0.0,311,0.022918201915991157,63,36,212,-1,-1
3,ABEL GUILLEN,2.4756637472841523,4887,0.360132645541636,1223,977,2687,-1,-1
4,KEVIN BLACKBURN,4.0,1303,0.09602063375092115,207,261,835,-1,-1
