,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,NILS NEHRENHEIM,3.90475463903279,3248,0.29216515246919134,762,768,361,114,1243
1,JAMES A LIGHT,4.0,4896,0.4404065845102096,1252,1028,538,265,1813
2,JOAN IRVINE,0.7273351344112715,1198,0.10776288567059458,154,197,252,136,459
3,JEFF GINSBURG,1.9138130067939185,853,0.07672933345326977,170,119,167,75,322
4,GEORGETTE GANTNER,0.0,922,0.08293604389673473,225,132,163,71,331
