,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,KIM ALVARENGA,0.8465832555808852,8691,0.34122497055359247,1853,1534,5304,-1,-1
1,AHSHA SAFAI,0.0,9481,0.37224185316058106,2998,1309,5174,-1,-1
2,MAGDALENA DE GUZMAN,1.9358154722954093,3037,0.11923831959167648,541,214,2282,-1,-1
3,BERTA HERNANDEZ,2.972864783992964,1621,0.06364350215940322,168,152,1301,-1,-1
4,FRANCISCO HERRERA,4.0,2640,0.10365135453474676,401,294,1945,-1,-1
