,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9
0,ERIC MAR,7.8367681176186545,11671,0.40479328523862373,4188,1483,6000,-1,-1,-1,-1,-1,-1
1,ALICIA WANG,8.0,4252,0.14747502774694785,609,766,2877,-1,-1,-1,-1,-1,-1
2,SUE LEE,6.1979040811218065,9785,0.33937985571587126,1982,2278,5525,-1,-1,-1,-1,-1,-1
3,BRIAN J. LARKIN,5.492835264739285,1005,0.03485710321864595,184,112,709,-1,-1,-1,-1,-1,-1
4,JASON JUNGREIS,6.390564698731252,618,0.02143451720310766,82,74,462,-1,-1,-1,-1,-1,-1
5,FIDEL CHRYS GAKUBA,3.9829106631517917,367,0.012728912319644839,33,48,286,-1,-1,-1,-1,-1,-1
6,NICHOLAS C. BELLONI,4.995280344593735,542,0.01879855715871254,84,52,406,-1,-1,-1,-1,-1,-1
7,GEORGE FLAMIK,4.7781767440840035,331,0.011480299667036627,48,39,244,-1,-1,-1,-1,-1,-1
8,SHERMAN R. D''SILVA,0.0,261,0.009052441731409545,34,42,185,-1,-1,-1,-1,-1,-1
