,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,"Kawasaki, Scott",0.0,4288,0.5103546774577482,2434,589,1265
1,"Matherly, Jim",2.0,3526,0.41966198524160914,1418,1398,710
2,"Jafre, Alex N.",1.3055993198777394,588,0.0699833373006427,208,219,161
