,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,LYNETTE GIBSON MCELHANEY,4.635786077248861,9345,0.30324171723399423,2505,1372,936,785,3747,-1
1,CARROLL FIFE,5.0,15100,0.4899892916247526,4946,2200,2264,940,4750,-1
2,MERON SEMEDAR,3.105781097975896,2054,0.0666515235097511,353,176,216,227,1082,-1
3,SENECA SCOTT,2.459256365890426,2155,0.06992893532790342,376,270,278,241,990,-1
4,ALEXUS TAYLOR,1.564932494063813,1408,0.04568906772236103,259,78,134,169,768,-1
5,FAYE TAYLOR,0.0,755,0.02449946458123763,148,66,80,114,347,-1
