,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,Shawn Bunney,3.0,105161,0.3515832126964598,47651,15835,41675,-1
1,Calvin Goings,0.0,69166,0.23124166268258517,16831,14722,37613,-1
2,Pat McCarthy,0.7477330457345579,79355,0.26530639537021866,17239,16867,45249,-1
3,Mike Lonergan,1.7593003203878328,45425,0.15186872925073636,10479,8157,26789,-1
