,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10
0,LIBBY SCHAAF,1.0016713593054332,84651,0.5317040079895985,32595,12621,39435,-1,-1,-1,-1,-1,-1,-1
1,CAT BROOKS,0.0,40904,0.2569233764847023,5069,7804,28031,-1,-1,-1,-1,-1,-1,-1
2,PAMELA PRICE,2.7970324515047817,20949,0.1315834102771863,3499,3608,13842,-1,-1,-1,-1,-1,-1,-1
3,NANCY SIDEBOTHAM,4.331128605703248,1794,0.011268348753509582,480,303,1011,-1,-1,-1,-1,-1,-1,-1
4,SAIED KARAMOOZ,2.3805658782635173,3025,0.019000420835767272,270,325,2430,-1,-1,-1,-1,-1,-1,-1
5,CEDRIC A. TROUPE,5.06887184641624,1148,0.0072107382213093645,208,150,790,-1,-1,-1,-1,-1,-1,-1
6,MARCHON TATMON,2.1128560203534286,2137,0.013422776636705672,474,272,1391,-1,-1,-1,-1,-1,-1,-1
7,PETER YUAN LIU,4.099501077690427,1177,0.007392891016098539,346,187,644,-1,-1,-1,-1,-1,-1,-1
8,JESSE A.J. SMITH,3.528198471426141,752,0.004723410402808922,132,110,510,-1,-1,-1,-1,-1,-1,-1
9,KEN HOUSTON,9.0,2670,0.01677061938231359,701,365,1604,-1,-1,-1,-1,-1,-1,-1
