,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,Heriberto Mateo,0.0,964,0.08858665686454696,290,118,103,95,358,-1
1,Darma V. Diaz,3.0210034209342074,2528,0.23231023708877044,1016,411,233,160,708,-1
2,Sandy Nurse,3.437722056446399,5371,0.49356735894137105,2207,944,553,300,1367,-1
3,Christopher Durosinmi,5.0,343,0.03151994118728175,104,69,43,23,104,-1
4,Rick Echevarria,1.1203985173682816,562,0.051644918213563686,221,84,68,40,149,-1
5,Misba Abdin,1.7619028105523933,1114,0.10237088770446609,496,154,181,38,245,-1
