,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9
0,Michael P. Schnall,8.0,900,0.06548311990686845,244,146,149,75,286,-1,-1,-1,-1
1,Kamillah Hanks,4.188887583488938,3480,0.2532013969732247,941,518,410,255,1356,-1,-1,-1,-1
2,David Hernandez,5.540283287759022,1029,0.07486903376018626,323,139,103,59,405,-1,-1,-1,-1
3,Selina Grey,3.331430954723559,1281,0.09320430733410943,272,206,182,115,506,-1,-1,-1,-1
4,Kelvin Richards,3.121855282087183,1405,0.10222642607683352,469,185,128,80,543,-1,-1,-1,-1
5,John F. McBeth Sr.,0.977379372890718,398,0.028958090803259603,113,42,44,37,162,-1,-1,-1,-1
6,Troy McGhie,0.0,842,0.061263096623981377,222,144,117,94,265,-1,-1,-1,-1
7,Amoy Barnes,3.9926001275234153,2826,0.20561699650756693,471,410,468,288,1189,-1,-1,-1,-1
8,Ranti Ogunleye,2.7072399202263195,1583,0.11517753201396973,403,207,177,148,648,-1,-1,-1,-1
