,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,JOHN HAMASAKI,1.0188986956174022,102746,0.37164735713174735,35054,22953,12310,32429
1,BROOKE JENKINS,0.0,126630,0.45803928944769784,56876,17210,12086,40458
2,JOE ALIOTO VERONESE,1.8168580008013904,34735,0.12564159139987197,7102,6037,5867,15729
3,MAURICE CHENIER,3.0,12350,0.04467176202068285,2627,1719,1893,6111
