,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,Brad M. Hoylman,0.9511357617371443,61775,0.2599914142859548,20414,13473,10972,4918,11998,-1,-1
1,Ben Kallos,1.8756979633894928,30813,0.1296821602329927,9234,6752,5694,2629,6504,-1,-1
2,Guillermo A. Perez,6.0,16459,0.06927071934815912,6294,2205,1473,1050,5437,-1,-1
3,Mark D. Levine,1.4971032205236063,67453,0.2838883183784785,23641,13991,10494,5064,14263,-1,-1
4,Lindsey C. Boylan,3.457498371672723,24510,0.1031548290432821,5545,4983,4780,2561,6641,-1,-1
5,Kimberly R. Watkins,3.3743395530840874,13035,0.05486018753893032,3882,1759,1836,876,4682,-1,-1
6,Elizabeth R. Caputo,0.0,23559,0.09915237117220249,6216,4755,4387,1919,6282,-1,-1
