,candidate,position,first place count,first place freq,len_1,len_2
0,"Lurtsema, Joseph M. ""Joe""",0.0,3050,0.38962698007153806,2498,552
1,"Schrage, Calvin R.",1.0,4778,0.6103730199284619,3765,1013
