,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,Hinda Miller,4.0,3119,0.31904664484451717,551,1200,489,163,716
1,Kevin Curley,2.485391407757375,2630,0.26902618657937805,802,644,442,129,613
2,Louie the Cowman Beaudin,1.03704125337538,126,0.012888707037643207,33,20,19,18,36
3,Bob Kiss,3.2963353301216127,3840,0.39279869067103107,495,1435,733,235,942
4,Loyal Ploof,0.0,61,0.006239770867430442,5,12,15,6,23
