,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,JENNIFER BROUHARD,0.8783983405148467,7530,0.49864247400834383,2292,1800,3438
1,DAVID KAKISHIBA,0.0,5053,0.3346136017482286,1831,1096,2126
2,MAX OROZCO,2.0,2518,0.1667439242434276,386,939,1193
