,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,JULIE FULLMER,0.0,1330,0.8653220559531555,298,55,977
1,MARC BRIMHALL,1.0478881583682274,133,0.08653220559531555,15,9,109
2,MARIA GUADALUPE CANE,2.0,74,0.048145738451528954,4,4,66
