,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,Ted Nearman,2.0,1320,0.4028074458346048,751,255,314
1,David G. Larson,1.3351048042970581,373,0.11382361916386939,95,87,191
2,Kissy C. Coakley,0.0,1584,0.4833689350015258,676,340,568
