,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,Lennie Chism,4.0,61,0.02817551963048499,12,6,43,-1,-1
1,Natalie Johnson Lee,2.5116446897141596,654,0.3020785219399538,212,109,333,-1,-1
2,Kenya McKnight,1.968610968874829,336,0.15519630484988453,59,61,216,-1,-1
3,Don Samuels,1.732016889741538,1021,0.47159353348729793,512,174,335,-1,-1
4,Roger Smithrud,0.0,93,0.04295612009237875,42,10,41,-1,-1
