,candidate,position,first place count,first place freq,len_1,len_2
0,LYNETTE GIBSON MCELHANEY,1.0,13151,0.5651239740449486,5700,7451
1,NONI D. SESSION,0.0,10120,0.43487602595505137,5907,4213
